Preprocessing Configuration:{'order': ['feature_extractor', 'scaler'], 'feature_extractor': <class 'configs.feature_extractors.RocketFeatureExtractorOverlapping'>, 'feature_extractor_hyperparams': {}, 'scaler': <class 'sklearn.preprocessing._data.StandardScaler'>, 'scaler_hyperparams': {}, 'param_grid': {'model__max_depth': [6, 8, 10], 'model__learning_rate': [0.05, 0.1, 0.2], 'model__l2_leaf_reg': [1, 5, 10]}}
 Model Configuration:{'model': <class 'catboost.core.CatBoostClassifier'>, 'model_hyperparams': {}, 'param_grid': {'model__max_depth': [6, 8, 10], 'model__learning_rate': [0.05, 0.1, 0.2], 'model__l2_leaf_reg': [1, 5, 10]}}
 Best Score: 0.8430368373764601
 Best Estimator: Pipeline(steps=[('feature_extractor',
                 <configs.feature_extractors.RocketFeatureExtractorOverlapping object at 0x00000198B81E1C10>),
                ('scaler', StandardScaler()),
                ('model',
                 <catboost.core.CatBoostClassifier object at 0x00000198B81D9590>)])
 Best Parameter Setting:{'model__l2_leaf_reg': 5, 'model__learning_rate': 0.2, 'model__max_depth': 10}
	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
split2_test_score	0.7830188679245284	0.8207547169811321	0.8301886792452831	0.8018867924528302	0.8301886792452831	0.8490566037735849	0.7358490566037735	0.8207547169811321	0.8207547169811321	0.7735849056603774	0.7735849056603774	0.8113207547169812	0.7830188679245284	0.8018867924528302	0.7830188679245284	0.7830188679245284	0.7924528301886793	0.839622641509434	0.7547169811320755	0.7452830188679245	0.7641509433962265	0.7641509433962265	0.7641509433962265	0.7924528301886793	0.7452830188679245	0.7830188679245284	0.7735849056603774
split3_test_score	0.8666666666666667	0.9047619047619048	0.9333333333333333	0.8666666666666667	0.9142857142857143	0.9333333333333333	0.8666666666666667	0.9142857142857143	0.9238095238095239	0.8285714285714286	0.8857142857142857	0.9047619047619048	0.8476190476190476	0.8571428571428571	0.8952380952380953	0.8666666666666667	0.8666666666666667	0.9333333333333333	0.8285714285714286	0.8952380952380953	0.9047619047619048	0.8285714285714286	0.8571428571428571	0.8952380952380953	0.8380952380952381	0.8380952380952381	0.8857142857142857
split4_test_score	0.8761904761904762	0.8761904761904762	0.8761904761904762	0.8571428571428571	0.8761904761904762	0.8761904761904762	0.8857142857142857	0.8761904761904762	0.8666666666666667	0.8761904761904762	0.8761904761904762	0.8761904761904762	0.8761904761904762	0.8666666666666667	0.8761904761904762	0.8666666666666667	0.8761904761904762	0.8761904761904762	0.8666666666666667	0.8761904761904762	0.8761904761904762	0.8571428571428571	0.8761904761904762	0.8761904761904762	0.8476190476190476	0.8761904761904762	0.8761904761904762
mean_test_score	0.8164959568733154	0.8392093441150046	0.84115004492363	0.8202336028751123	0.8354537286612759	0.8392632524707995	0.8127403414195868	0.8392273135669364	0.8430008984725965	0.801329739442947	0.8221922731356693	0.8278885893980235	0.8145732255166218	0.8164600179694521	0.8203234501347708	0.8127044025157233	0.8259299191374664	0.8430368373764601	0.797538185085355	0.8127762803234502	0.8203414195867026	0.7899730458221025	0.8145911949685534	0.8278706199460917	0.7880862533692723	0.8145552560646901	0.818418688230009
std_test_score	0.04739476927016742	0.043782325330474596	0.05793480610053369	0.043752991908890544	0.05381236137190213	0.06531800615013882	0.059289890092497244	0.04840863626425031	0.046831046393647234	0.05045498923514102	0.049170147257667086	0.05369329970065276	0.046311408953355074	0.039244781121625695	0.05416999699523566	0.05332116866134775	0.0374302260326601	0.05739092436332474	0.04545751402320298	0.06103536431012468	0.05888709211429021	0.055224210133056055	0.04390046334524243	0.048476186179828004	0.05089631478920889	0.036961157712958756	0.051263164790280535
rank_test_score	16	6	3	14	7	4	22	5	2	24	11	8	19	17	13	23	10	1	25	21	12	26	18	9	27	20	15
split0_train_score	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
split1_train_score	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
split2_train_score	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
split3_train_score	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
split4_train_score	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
mean_train_score	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
std_train_score	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
